cat1,cat2,old_cat3,new_cat3,samples,merge_type
grocery gourmet food,cooking baking supplies,extracts flavoring,cooking baking supplies other,2,other (very rare)
grocery gourmet food,cooking baking supplies,food coloring,cooking baking supplies other,2,other (very rare)
grocery gourmet food,cooking baking supplies,coatings batters,cooking baking supplies other,1,other (very rare)
grocery gourmet food,cooking baking supplies,sugar substitutes,cooking baking supplies other,1,other (very rare)
grocery gourmet food,cooking baking supplies,health monitors,cooking baking supplies other,1,other (very rare)
grocery gourmet food,cooking baking supplies,chocolate bars,cooking baking supplies other,1,other (very rare)
grocery gourmet food,candy chocolate,gummy candies,hard candies,9,similar (score: 0.65)
grocery gourmet food,candy chocolate,licorice,hard candies,8,similar (score: 0.50)
grocery gourmet food,candy chocolate,mints,hard candies,8,similar (score: 0.50)
grocery gourmet food,candy chocolate,gummy candy,hard candies,7,similar (score: 0.65)
grocery gourmet food,candy chocolate,gum,hard candies,7,similar (score: 0.52)
grocery gourmet food,candy chocolate,taffy,hard candies,6,similar (score: 0.58)
grocery gourmet food,candy chocolate,caramels,candy chocolate other,6,other (no good match)
grocery gourmet food,candy chocolate,chewing gum,candy chocolate other,4,other (very rare)
grocery gourmet food,candy chocolate,chocolate assortments,candy chocolate other,3,other (very rare)
grocery gourmet food,candy chocolate,jelly beans,candy chocolate other,3,other (very rare)
grocery gourmet food,candy chocolate,chocolate covered fruit,candy chocolate other,3,other (very rare)
grocery gourmet food,candy chocolate,chocolate truffles,candy chocolate other,2,other (very rare)
grocery gourmet food,candy chocolate,bars,candy chocolate other,2,other (very rare)
grocery gourmet food,candy chocolate,chocolate covered nuts,candy chocolate other,2,other (very rare)
grocery gourmet food,candy chocolate,nut clusters,candy chocolate other,2,other (very rare)
grocery gourmet food,candy chocolate,fruits,candy chocolate other,1,other (very rare)
grocery gourmet food,candy chocolate,styling tools,candy chocolate other,1,other (very rare)
grocery gourmet food,candy chocolate,nutrition bars drinks,candy chocolate other,1,other (very rare)
grocery gourmet food,candy chocolate,fruit leather,candy chocolate other,1,other (very rare)
grocery gourmet food,candy chocolate,vitamins supplements,candy chocolate other,1,other (very rare)
grocery gourmet food,candy chocolate,fudge,candy chocolate other,1,other (very rare)
grocery gourmet food,candy chocolate,coffee,candy chocolate other,1,other (very rare)
grocery gourmet food,candy chocolate,chips crisps,candy chocolate other,1,other (very rare)
grocery gourmet food,beverages,coconut water,beverages other,8,other (no good match)
grocery gourmet food,beverages,powdered drink mixes,beverages other,4,other (very rare)
grocery gourmet food,beverages,energy drinks,beverages other,4,other (very rare)
grocery gourmet food,beverages,soft drinks,beverages other,3,other (very rare)
grocery gourmet food,beverages,water,beverages other,1,other (very rare)
grocery gourmet food,beverages,sports drinks,beverages other,1,other (very rare)
grocery gourmet food,breakfast foods,toaster pastries,breakfast foods other,2,other (very rare)
grocery gourmet food,fresh flowers live indoor plants,fresh cut flowers,fresh flowers live indoor plants other,3,other (very rare)
grocery gourmet food,sauces dips,dips,sauces dips other,2,other (very rare)
grocery gourmet food,dairy eggs,milk,dairy eggs other,5,other (no good match)
grocery gourmet food,dairy eggs,coffee,dairy eggs other,2,other (very rare)
grocery gourmet food,dairy eggs,cheese,dairy eggs other,2,other (very rare)
grocery gourmet food,dairy eggs,eggs,dairy eggs other,1,other (very rare)
grocery gourmet food,breads bakery,cookies,breads bakery other,9,other (no good match)
grocery gourmet food,breads bakery,fresh baked cookies,breads bakery other,5,other (no good match)
grocery gourmet food,breads bakery,cakes,breads bakery other,4,other (very rare)
grocery gourmet food,breads bakery,breadsticks,breads bakery other,2,other (very rare)
grocery gourmet food,breads bakery,health care,breads bakery other,1,other (very rare)
grocery gourmet food,breads bakery,stuffing,breads bakery other,1,other (very rare)
grocery gourmet food,gourmet gifts,tea gifts,gourmet gifts other,4,other (very rare)
grocery gourmet food,gourmet gifts,snack gifts,gourmet gifts other,3,other (very rare)
grocery gourmet food,gourmet gifts,chocolate gifts,gourmet gifts other,3,other (very rare)
grocery gourmet food,gourmet gifts,candy gifts,gourmet gifts other,3,other (very rare)
grocery gourmet food,gourmet gifts,seafood gifts,gourmet gifts other,3,other (very rare)
grocery gourmet food,gourmet gifts,meat gifts,gourmet gifts other,2,other (very rare)
grocery gourmet food,gourmet gifts,sauces gifts,gourmet gifts other,2,other (very rare)
grocery gourmet food,gourmet gifts,cheese gifts,gourmet gifts other,1,other (very rare)
grocery gourmet food,produce,fresh fruits,produce other,5,other (no good match)
grocery gourmet food,produce,fresh vegetables,produce other,2,other (very rare)
grocery gourmet food,meat seafood,seafood,meat seafood other,5,other (no good match)
grocery gourmet food,meat poultry,first aid,meat poultry other,1,other (very rare)
grocery gourmet food,meat poultry,lamb,meat poultry other,1,other (very rare)
grocery gourmet food,meat poultry,pork,meat poultry other,1,other (very rare)
grocery gourmet food,baby food,cereal,baby food other,1,other (very rare)
grocery gourmet food,baby food,baby formula,baby food other,1,other (very rare)
toys games,novelty gag toys,prisms kaleidoscopes,novelty gag toys other,4,other (very rare)
toys games,novelty gag toys,pretend play,novelty gag toys other,3,other (very rare)
toys games,novelty gag toys,wind up toys,novelty gag toys other,3,other (very rare)
toys games,novelty gag toys,viewfinders,novelty gag toys other,3,other (very rare)
toys games,novelty gag toys,science,novelty gag toys other,2,other (very rare)
toys games,novelty gag toys,flying toys,novelty gag toys other,2,other (very rare)
toys games,novelty gag toys,vitamins supplements,novelty gag toys other,2,other (very rare)
toys games,novelty gag toys,board games,novelty gag toys other,2,other (very rare)
toys games,novelty gag toys,litter housebreaking,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,animals figures,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,craft kits,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,money banks,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,doll accessories,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,brain teasers,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,styling tools,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,daily living aids,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,figures,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,electronic toys,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,teethers,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,scooters wagons,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,novelty spinning tops,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,diaper bags,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,playsets,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,pumps filters,novelty gag toys other,1,other (very rare)
toys games,novelty gag toys,alternative medicine,novelty gag toys other,1,other (very rare)
toys games,action toy figures,statues,action toy figures other,1,other (very rare)
toys games,stuffed animals plush,puppets,animals figures,7,similar (score: 0.61)
toys games,stuffed animals plush,teddy bears,stuffed animals plush other,4,other (very rare)
toys games,stuffed animals plush,plush puppets,stuffed animals plush other,4,other (very rare)
toys games,stuffed animals plush,board games,stuffed animals plush other,2,other (very rare)
toys games,stuffed animals plush,pretend play,stuffed animals plush other,1,other (very rare)
toys games,stuffed animals plush,flash cards,stuffed animals plush other,1,other (very rare)
toys games,stuffed animals plush,d puzzles,stuffed animals plush other,1,other (very rare)
toys games,stuffed animals plush,plush backpacks purses,stuffed animals plush other,1,other (very rare)
toys games,baby toddler toys,balls,push pull toys,5,similar (score: 0.70)
toys games,baby toddler toys,pretend play,baby toddler toys other,4,other (very rare)
toys games,baby toddler toys,teaching clocks,baby toddler toys other,2,other (very rare)
toys games,baby toddler toys,electronic toys,baby toddler toys other,2,other (very rare)
toys games,baby toddler toys,household batteries,baby toddler toys other,2,other (very rare)
toys games,baby toddler toys,activity play centers,baby toddler toys other,2,other (very rare)
toys games,baby toddler toys,scooters wagons,baby toddler toys other,2,other (very rare)
toys games,baby toddler toys,toys,baby toddler toys other,2,other (very rare)
toys games,baby toddler toys,hands nails,baby toddler toys other,1,other (very rare)
toys games,baby toddler toys,science,baby toddler toys other,1,other (very rare)
toys games,baby toddler toys,doll accessories,baby toddler toys other,1,other (very rare)
toys games,baby toddler toys,trains accessories,baby toddler toys other,1,other (very rare)
toys games,baby toddler toys,radio control,baby toddler toys other,1,other (very rare)
toys games,baby toddler toys,dolls,baby toddler toys other,1,other (very rare)
toys games,baby toddler toys,jigsaw puzzles,baby toddler toys other,1,other (very rare)
toys games,dolls accessories,dollhouses,dolls,5,similar (score: 0.59)
toys games,dolls accessories,dollhouse accessories,doll accessories,5,similar (score: 0.69)
toys games,dolls accessories,playsets,dolls accessories other,3,other (very rare)
toys games,hobbies,rockets,model building kits tools,5,similar (score: 0.49)
toys games,hobbies,scaled model vehicles,model building kits tools,5,similar (score: 0.53)
toys games,hobbies,scooters wagons,hobbies other,1,other (very rare)
toys games,hobbies,coin collecting,hobbies other,1,other (very rare)
toys games,games,dice gaming dice,games other,4,other (very rare)
toys games,games,game room games,games other,4,other (very rare)
toys games,games,floor games,games other,3,other (very rare)
toys games,games,game collections,games other,3,other (very rare)
toys games,games,tile games,games other,2,other (very rare)
toys games,games,battling tops,games other,1,other (very rare)
toys games,games,seafood gifts,games other,1,other (very rare)
toys games,games,paper plastic,games other,1,other (very rare)
toys games,games,scooters wagons,games other,1,other (very rare)
toys games,games,push pull toys,games other,1,other (very rare)
toys games,games,model building kits tools,games other,1,other (very rare)
toys games,games,geography,games other,1,other (very rare)
toys games,games,cheese gifts,games other,1,other (very rare)
toys games,games,styling tools,games other,1,other (very rare)
toys games,games,cat flaps,games other,1,other (very rare)
toys games,games,canned jarred food,games other,1,other (very rare)
toys games,arts crafts,easels,craft kits,7,similar (score: 0.56)
toys games,arts crafts,drawing sketching tablets,arts crafts other,3,other (very rare)
toys games,arts crafts,aprons smocks,arts crafts other,3,other (very rare)
toys games,arts crafts,stickers,arts crafts other,2,other (very rare)
toys games,arts crafts,toys,arts crafts other,1,other (very rare)
toys games,arts crafts,daily living aids,arts crafts other,1,other (very rare)
toys games,arts crafts,bath toys,arts crafts other,1,other (very rare)
toys games,arts crafts,board games,arts crafts other,1,other (very rare)
toys games,arts crafts,dolls,arts crafts other,1,other (very rare)
toys games,arts crafts,blackboards whiteboards,arts crafts other,1,other (very rare)
toys games,arts crafts,shape sorters,arts crafts other,1,other (very rare)
toys games,arts crafts,pretend play,arts crafts other,1,other (very rare)
toys games,arts crafts,women s,arts crafts other,1,other (very rare)
toys games,arts crafts,household cleaning,arts crafts other,1,other (very rare)
toys games,arts crafts,beds furniture,arts crafts other,1,other (very rare)
toys games,arts crafts,nails,arts crafts other,1,other (very rare)
toys games,electronics for kids,electronic pets,electronic toys,6,similar (score: 0.69)
toys games,electronics for kids,music players karaoke,electronics for kids other,4,other (very rare)
toys games,electronics for kids,training behavior aids,electronics for kids other,3,other (very rare)
toys games,electronics for kids,dolls,electronics for kids other,2,other (very rare)
toys games,electronics for kids,oral hygiene,electronics for kids other,2,other (very rare)
toys games,electronics for kids,alternative medicine,electronics for kids other,2,other (very rare)
toys games,electronics for kids,board games,electronics for kids other,2,other (very rare)
toys games,electronics for kids,toys,electronics for kids other,2,other (very rare)
toys games,electronics for kids,playsets,electronics for kids other,1,other (very rare)
toys games,electronics for kids,aquarium lights,electronics for kids other,1,other (very rare)
toys games,electronics for kids,pain relievers,electronics for kids other,1,other (very rare)
toys games,electronics for kids,vitamins supplements,electronics for kids other,1,other (very rare)
toys games,electronics for kids,plug play video games,electronics for kids other,1,other (very rare)
toys games,electronics for kids,activity play centers,electronics for kids other,1,other (very rare)
toys games,electronics for kids,shaving hair removal,electronics for kids other,1,other (very rare)
toys games,electronics for kids,rockets,electronics for kids other,1,other (very rare)
toys games,electronics for kids,cameras camcorders,electronics for kids other,1,other (very rare)
toys games,electronics for kids,scooters wagons,electronics for kids other,1,other (very rare)
toys games,electronics for kids,grooming,electronics for kids other,1,other (very rare)
toys games,electronics for kids,pools water fun,electronics for kids other,1,other (very rare)
toys games,electronics for kids,carriers travel products,electronics for kids other,1,other (very rare)
toys games,electronics for kids,beds furniture,electronics for kids other,1,other (very rare)
toys games,electronics for kids,pretend play,electronics for kids other,1,other (very rare)
toys games,electronics for kids,play tents tunnels,electronics for kids other,1,other (very rare)
toys games,electronics for kids,teethers,electronics for kids other,1,other (very rare)
toys games,electronics for kids,thermometers,electronics for kids other,1,other (very rare)
toys games,electronics for kids,feeding watering supplies,electronics for kids other,1,other (very rare)
toys games,electronics for kids,card games,electronics for kids other,1,other (very rare)
toys games,electronics for kids,push pull toys,electronics for kids other,1,other (very rare)
toys games,electronics for kids,habitats,electronics for kids other,1,other (very rare)
toys games,electronics for kids,styling tools,electronics for kids other,1,other (very rare)
toys games,electronics for kids,puppets,electronics for kids other,1,other (very rare)
toys games,electronics for kids,highchairs booster seats,electronics for kids other,1,other (very rare)
toys games,electronics for kids,sun protection,electronics for kids other,1,other (very rare)
toys games,electronics for kids,deodorants antiperspirants,electronics for kids other,1,other (very rare)
toys games,electronics for kids,household batteries,electronics for kids other,1,other (very rare)
toys games,electronics for kids,personal video players accessories,electronics for kids other,1,other (very rare)
toys games,electronics for kids,tests,electronics for kids other,1,other (very rare)
toys games,electronics for kids,science,electronics for kids other,1,other (very rare)
toys games,vehicles remote control,die cast vehicles,vehicles remote control other,1,other (very rare)
toys games,grown up toys,board games,grown up toys other,4,other (very rare)
toys games,grown up toys,action toy figures,grown up toys other,3,other (very rare)
toys games,grown up toys,science,grown up toys other,3,other (very rare)
toys games,grown up toys,puzzles,grown up toys other,3,other (very rare)
toys games,grown up toys,daily living aids,grown up toys other,2,other (very rare)
toys games,grown up toys,scaled model vehicles,grown up toys other,2,other (very rare)
toys games,grown up toys,standard playing card decks,grown up toys other,1,other (very rare)
toys games,grown up toys,building sets,grown up toys other,1,other (very rare)
toys games,grown up toys,model building kits tools,grown up toys other,1,other (very rare)
toys games,grown up toys,trains accessories,grown up toys other,1,other (very rare)
toys games,grown up toys,vitamins supplements,grown up toys other,1,other (very rare)
toys games,grown up toys,braces,grown up toys other,1,other (very rare)
toys games,grown up toys,feminine care,grown up toys other,1,other (very rare)
toys games,grown up toys,stacking games,grown up toys other,1,other (very rare)
toys games,grown up toys,doll accessories,grown up toys other,1,other (very rare)
toys games,grown up toys,push pull toys,grown up toys other,1,other (very rare)
toys games,grown up toys,toys,grown up toys other,1,other (very rare)
toys games,grown up toys,craft kits,grown up toys other,1,other (very rare)
toys games,grown up toys,oral hygiene,grown up toys other,1,other (very rare)
toys games,grown up toys,household batteries,grown up toys other,1,other (very rare)
toys games,grown up toys,figures,grown up toys other,1,other (very rare)
toys games,grown up toys,scooters wagons,grown up toys other,1,other (very rare)
toys games,grown up toys,health care,grown up toys other,1,other (very rare)
toys games,grown up toys,flash cards,grown up toys other,1,other (very rare)
toys games,grown up toys,litter housebreaking,grown up toys other,1,other (very rare)
toys games,grown up toys,puppets,grown up toys other,1,other (very rare)
toys games,grown up toys,play vehicles,grown up toys other,1,other (very rare)
toys games,grown up toys,tea,grown up toys other,1,other (very rare)
toys games,grown up toys,household cleaning,grown up toys other,1,other (very rare)
toys games,grown up toys,playsets,grown up toys other,1,other (very rare)
toys games,grown up toys,die cast toy vehicles,grown up toys other,1,other (very rare)
toys games,dress up pretend play,beauty fashion,dress up pretend play other,1,other (very rare)
toys games,building toys,marble runs,building toys other,3,other (very rare)
toys games,building toys,music sound,building toys other,1,other (very rare)
toys games,building toys,science,building toys other,1,other (very rare)
toys games,building toys,trains accessories,building toys other,1,other (very rare)
toys games,building toys,animals figures,building toys other,1,other (very rare)
toys games,building toys,pretend play,building toys other,1,other (very rare)
toys games,building toys,basic life skills toys,building toys other,1,other (very rare)
toys games,building toys,nursery d cor,building toys other,1,other (very rare)
toys games,sports outdoor play,gym sets swings,play tents tunnels,7,similar (score: 0.58)
toys games,sports outdoor play,blasters foam play,play tents tunnels,7,similar (score: 0.65)
toys games,sports outdoor play,pogo sticks hoppers,sports outdoor play other,4,other (very rare)
toys games,sports outdoor play,sandboxes accessories,sports outdoor play other,2,other (very rare)
toys games,sports outdoor play,ball pits accessories,sports outdoor play other,2,other (very rare)
toys games,sports outdoor play,kites wind spinners,sports outdoor play other,1,other (very rare)
toys games,sports outdoor play,animals figures,sports outdoor play other,1,other (very rare)
toys games,sports outdoor play,die cast toy vehicles,sports outdoor play other,1,other (very rare)
toys games,sports outdoor play,beanbags foot bags,sports outdoor play other,1,other (very rare)
toys games,sports outdoor play,massage relaxation,sports outdoor play other,1,other (very rare)
toys games,sports outdoor play,bathroom aids safety,sports outdoor play other,1,other (very rare)
toys games,sports outdoor play,gardening tools,sports outdoor play other,1,other (very rare)
toys games,sports outdoor play,beds furniture,sports outdoor play other,1,other (very rare)
toys games,puzzles,d puzzles,puzzles other,4,other (very rare)
toys games,puzzles,puzzle play mats,puzzles other,2,other (very rare)
toys games,puzzles,standard playing card decks,puzzles other,1,other (very rare)
toys games,puzzles,electronic toys,puzzles other,1,other (very rare)
toys games,puzzles,dollhouses,puzzles other,1,other (very rare)
toys games,puzzles,blocks,puzzles other,1,other (very rare)
toys games,puzzles,pretend play,puzzles other,1,other (very rare)
toys games,learning education,basic life skills toys,science,6,similar (score: 0.58)
toys games,learning education,mathematics counting,science,5,similar (score: 0.54)
toys games,learning education,pretend play,science,5,similar (score: 0.64)
toys games,learning education,jigsaw puzzles,science,5,similar (score: 0.45)
toys games,learning education,pegged puzzles,learning education other,3,other (very rare)
toys games,learning education,accessories,learning education other,2,other (very rare)
toys games,learning education,stacking nesting toys,learning education other,2,other (very rare)
toys games,learning education,shape sorters,learning education other,2,other (very rare)
toys games,learning education,board games,learning education other,2,other (very rare)
toys games,learning education,toys,learning education other,2,other (very rare)
toys games,learning education,blocks,learning education other,2,other (very rare)
toys games,learning education,trains accessories,learning education other,2,other (very rare)
toys games,learning education,activity play centers,learning education other,1,other (very rare)
toys games,learning education,furniture,learning education other,1,other (very rare)
toys games,learning education,houses,learning education other,1,other (very rare)
toys games,learning education,teethers,learning education other,1,other (very rare)
toys games,learning education,toy balls,learning education other,1,other (very rare)
toys games,learning education,first aid,learning education other,1,other (very rare)
toys games,learning education,bedding,learning education other,1,other (very rare)
toys games,learning education,die cast vehicles,learning education other,1,other (very rare)
toys games,learning education,animals figures,learning education other,1,other (very rare)
toys games,learning education,electronics,learning education other,1,other (very rare)
toys games,learning education,push pull toys,learning education other,1,other (very rare)
toys games,learning education,activity centers entertainers,learning education other,1,other (very rare)
toys games,learning education,face,learning education other,1,other (very rare)
toys games,learning education,dolls,learning education other,1,other (very rare)
toys games,learning education,drawing sketching tablets,learning education other,1,other (very rare)
toys games,learning education,pogo sticks hoppers,learning education other,1,other (very rare)
toys games,learning education,novelty gag toys,learning education other,1,other (very rare)
toys games,learning education,craft kits,learning education other,1,other (very rare)
beauty,fragrance,deodorants antiperspirants,fragrance other,2,other (very rare)
beauty,fragrance,daily living aids,fragrance other,1,other (very rare)
beauty,fragrance,household cleaning,fragrance other,1,other (very rare)
beauty,fragrance,nails,fragrance other,1,other (very rare)
beauty,fragrance,children s,fragrance other,1,other (very rare)
beauty,fragrance,grooming,fragrance other,1,other (very rare)
beauty,fragrance,sleep snoring,fragrance other,1,other (very rare)
beauty,fragrance,sports,fragrance other,1,other (very rare)
beauty,skin care,eyes,skin care other,11,other (no good match)
beauty,skin care,maternity,skin care other,5,other (no good match)
beauty,skin care,vitamins supplements,skin care other,4,other (very rare)
beauty,skin care,sets,skin care other,2,other (very rare)
beauty,skin care,styling products,skin care other,1,other (very rare)
beauty,skin care,health supplies,skin care other,1,other (very rare)
beauty,skin care,hair scalp treatments,skin care other,1,other (very rare)
beauty,skin care,shaving hair removal,skin care other,1,other (very rare)
beauty,skin care,ear care,skin care other,1,other (very rare)
beauty,skin care,bottle feeding,skin care other,1,other (very rare)
beauty,skin care,coconut water,skin care other,1,other (very rare)
beauty,skin care,massage relaxation,skin care other,1,other (very rare)
beauty,skin care,alternative medicine,skin care other,1,other (very rare)
beauty,skin care,extracts flavoring,skin care other,1,other (very rare)
